N,p,q,type,rad_odd_pq,conductor_proxy,rho
8192,1651,6541,Composite,10799191,116622526254481,3.594526
8192,1652,6540,Composite,675255,455969315025,2.979242
8192,1653,6539,Composite,10808967,116833767607089,3.594727
8192,1654,6538,Composite,2703463,7308712192369,3.287135
8192,1655,6537,Composite,10818735,117045027000225,3.594927
8192,1656,6536,Composite,56373,3177915129,2.42811
8192,1657,6535,Mixed,10828495,117256303965025,3.595128
8192,1658,6534,Composite,27357,748405449,2.267634
8192,1659,6533,Composite,10838247,117467598033009,3.595327
8192,1660,6532,Composite,677695,459270513025,2.980043
8192,1661,6531,Composite,10847991,117678908736081,3.595527
8192,1662,6530,Composite,2713215,7361535636225,3.287934
8192,1663,6529,Goldbach,10857727,117890235606529,3.595726
8192,1664,6528,Composite,663,439569,1.441979
8192,1665,6527,Composite,3622485,13122397575225,3.352084
8192,1666,6526,Composite,388297,150774560209,2.856431
8192,1667,6525,Mixed,725145,525835271025,2.995063
8192,1668,6524,Composite,680127,462572736129,2.980838
8192,1669,6523,Mixed,10886887,118524308550769,3.596321
8192,1670,6522,Composite,2722935,7414375014225,3.288728
8192,1671,6521,Mixed,10896591,118735695421281,3.596519
8192,1672,6520,Composite,170335,29014012225,2.673541
8192,1673,6519,Composite,10906287,118947096126369,3.596716
8192,1674,6518,Composite,303087,91861729569,2.801442
8192,1675,6517,Composite,44555,1985148025,2.375892
8192,1676,6516,Composite,227517,51763985289,2.737787
8192,1677,6515,Composite,10925655,119369937179025,3.59711
8192,1678,6514,Composite,2732623,7467228460129,3.289516
8192,1679,6513,Composite,10935327,119581376596929,3.597307
8192,1680,6512,Composite,42735,1826280225,2.366635
8192,1681,6511,Composite,266951,71262836401,2.773264
8192,1682,6510,Composite,94395,8910416025,2.542527
8192,1683,6509,Composite,3651549,13333810099401,3.353858
8192,1684,6508,Composite,684967,469179791089,2.982412
8192,1685,6507,Composite,1218255,1484145245025,3.110213
8192,1686,6506,Composite,2742279,7520094113841,3.290299
8192,1687,6505,Composite,10973935,120427249384225,3.598089
8192,1688,6504,Composite,171543,29427000849,2.675109
8192,1689,6503,Composite,10983567,120638744043489,3.598284
8192,1690,6502,Composite,211315,44654029225,2.72139
8192,1691,6501,Composite,10993191,120850248362481,3.598478
8192,1692,6500,Composite,9165,83997225,2.024911
8192,1693,6499,Mixed,11002807,121061761879249,3.598672
8192,1694,6498,Composite,4389,19263321,1.861489
8192,1695,6497,Composite,11012415,121273284132225,3.598866
8192,1696,6496,Composite,10759,115756081,2.060501
8192,1697,6495,Mixed,11022015,121484814660225,3.599059
8192,1698,6494,Composite,2756703,7599411430209,3.291463
8192,1699,6493,Mixed,11031607,121696353002449,3.599252
8192,1700,6492,Composite,137955,19031582025,2.626744
8192,1701,6491,Mixed,136311,18580688721,2.624083
8192,1702,6490,Composite,2761495,7625854635025,3.291849
8192,1703,6489,Composite,3683589,13568827920921,3.355797
8192,1704,6488,Composite,172743,29840144049,2.676657
8192,1705,6487,Composite,11060335,122331010312225,3.599829
8192,1706,6486,Composite,2766279,7652299505841,3.292233
8192,1707,6485,Composite,11069895,122542575311025,3.600021
8192,1708,6484,Composite,692167,479095155889,2.984732
8192,1709,6483,Mixed,11079447,122754145825809,3.600213
8192,1710,6482,Composite,923685,853193979225,3.048776
8192,1711,6481,Mixed,11088991,122965721398081,3.600404
8192,1712,6480,Composite,1605,2576025,1.638209
8192,1713,6479,Composite,11098527,123177301569729,3.600595
8192,1714,6478,Composite,2775823,7705193327329,3.292998
8192,1715,6477,Composite,226695,51390623025,2.736984
8192,1716,6476,Composite,694551,482401091601,2.985496
8192,1717,6475,Composite,2223515,4944018955225,3.243755
8192,1718,6474,Composite,2780583,7731641819889,3.293378
8192,1719,6473,Mixed,3709029,13756896122841,3.357325
8192,1720,6472,Composite,173935,30253384225,2.678183
8192,1721,6471,Mixed,3712197,13780406566809,3.357514
8192,1722,6470,Composite,2785335,7758091062225,3.293757
8192,1723,6469,Goldbach,11146087,124235255411569,3.601544
8192,1724,6468,Composite,99561,9912392721,2.554353
8192,1725,6467,Composite,2231115,4977874143225,3.244513
8192,1726,6466,Composite,2790079,7784540826241,3.294135
8192,1727,6465,Composite,11165055,124658453153025,3.601921
8192,1728,6464,Composite,303,91809,1.268181
8192,1729,6463,Composite,11174527,124870053673729,3.602109
8192,1730,6462,Composite,931605,867887876025,3.050671
8192,1731,6461,Composite,11183991,125081654688081,3.602297
8192,1732,6460,Composite,699295,489013497025,2.987006
8192,1733,6459,Mixed,11193447,125293255741809,3.602485
8192,1734,6458,Composite,164679,27119173041,2.666046
8192,1735,6457,Composite,11202895,125504856381025,3.602672
8192,1736,6456,Composite,175119,30666664161,2.679689
8192,1737,6455,Composite,3737445,13968495128025,3.359019
8192,1738,6454,Composite,2804263,7863890973169,3.29526
8192,1739,6453,Composite,1246863,1554667340769,3.115365
8192,1740,6452,Composite,701655,492319739025,2.987754
8192,1741,6451,Goldbach,11231191,126139651278481,3.603232
8192,1742,6450,Composite,561795,315613622025,2.938413
8192,1743,6449,Mixed,11240607,126351245728449,3.603418
8192,1744,6448,Composite,43927,1929581329,2.372742
8192,1745,6447,Composite,11250015,126562837500225,3.603604
8192,1746,6446,Composite,937893,879643279449,3.052164
8192,1747,6445,Mixed,11259415,126774426142225,3.603789
8192,1748,6444,Composite,234669,55069539561,2.744657
8192,1749,6443,Composite,11268807,126986011203249,3.603974
8192,1750,6442,Composite,112735,12709180225,2.581935
8192,1751,6441,Composite,11278191,127197592232481,3.604159
8192,1752,6440,Composite,176295,31079927025,2.681174
8192,1753,6439,Mixed,11287567,127409168779489,3.604343
8192,1754,6438,Composite,2823063,7969684701969,3.296743
8192,1755,6437,Composite,1255215,1575564696225,3.116847
8192,1756,6436,Composite,706351,498931735201,2.989235
8192,1757,6435,Composite,3768765,14203589625225,3.360871
8192,1758,6434,Composite,2827743,7996130474049,3.297111
8192,1759,6433,Mixed,11315647,128043867028609,3.604895
8192,1760,6432,Composite,11055,122213025,2.066525
8192,1761,6431,Composite,11324991,128255421150081,3.605078
8192,1762,6430,Composite,2832415,8022574732225,3.297477
8192,1763,6429,Composite,11334327,128466968542929,3.605261
8192,1764,6428,Composite,33747,1138860009,2.314226
8192,1765,6427,Mixed,11343655,128678508759025,3.605443
8192,1766,6426,Composite,315231,99370583361,2.810162
8192,1767,6425,Composite,2270595,5155601654025,3.248406
8192,1768,6424,Composite,177463,31493116369,2.68264
8192,1769,6423,Composite,11362287,129101565870369,3.605808
8192,1770,6422,Composite,218595,47783774025,2.728908
8192,1771,6421,Mixed,11371591,129313081871281,3.605989
8192,1772,6420,Composite,711015,505542330225,2.990695
8192,1773,6419,Composite,541947,293706550809,2.93043
8192,1774,6418,Composite,2846383,8101896182689,3.298569
8192,1775,6417,Composite,759345,576604829025,3.005292
8192,1776,6416,Composite,44511,1981229121,2.375673
8192,1777,6415,Mixed,11399455,129947574297025,3.606533
8192,1778,6414,Composite,2851023,8128332146529,3.29893
8192,1779,6413,Composite,1037157,1075694642649,3.074493
8192,1780,6412,Composite,713335,508846822225,2.991418
8192,1781,6411,Composite,11417991,130370518476081,3.606893
8192,1782,6410,Composite,105765,11186235225,2.56777
8192,1783,6409,Mixed,11427247,130581973999009,3.607073
8192,1784,6408,Composite,59541,3545130681,2.440246
8192,1785,6407,Composite,11436495,130793417885025,3.607253
8192,1786,6406,Composite,2860279,8181195957841,3.29965
8192,1787,6405,Mixed,11445735,131004849690225,3.607432
8192,1788,6404,Composite,715647,512150628609,2.992137
8192,1789,6403,Mixed,11454967,131216268971089,3.607611
8192,1790,6402,Composite,2864895,8207623361025,3.300008
8192,1791,6401,Composite,3821397,14603075031609,3.363949
8192,1792,6400,Composite,35,1225,0.78912
8192,1793,6399,Composite,424941,180574853481,2.876447
8192,1794,6398,Composite,2869503,8234047467009,3.300365
8192,1795,6397,Mixed,11482615,131850447238225,3.608146
8192,1796,6396,Composite,717951,515453638401,2.99285
8192,1797,6395,Composite,11491815,132061811994225,3.608324
8192,1798,6394,Composite,2874103,8260468054609,3.30072
8192,1799,6393,Composite,11501007,132273162014049,3.608501
8192,1800,6392,Composite,11985,143640225,2.084453
8192,1801,6391,Mixed,11510191,132484496856481,3.608678
8192,1802,6390,Composite,959565,920764989225,3.057234
8192,1803,6389,Mixed,11519367,132695816080689,3.608855
8192,1804,6388,Composite,720247,518755741009,2.993559
8192,1805,6387,Composite,606765,368163765225,2.955504
8192,1806,6386,Composite,2883279,8313297791841,3.301428
8192,1807,6385,Composite,11537695,133118405913025,3.609208
8192,1808,6384,Composite,45087,2032837569,2.378527
8192,1809,6383,Composite,1282983,1646045378289,3.121703
8192,1810,6382,Composite,2887855,8339706501025,3.30178
8192,1811,6381,Mixed,3851997,14837880888009,3.365719
8192,1812,6380,Composite,722535,522056826225,2.994263
8192,1813,6379,Mixed,1652161,2729635969921,3.177834
8192,1814,6378,Composite,2892423,8366110810929,3.30213
8192,1815,6377,Composite,1052205,1107135362025,3.07769
8192,1816,6376,Composite,180919,32731684561,2.686921
8192,1817,6375,Composite,463335,214679322225,2.895646
8192,1818,6374,Composite,965661,932501166921,3.05864
8192,1819,6373,Mixed,11592487,134385754845169,3.61026
8192,1820,6372,Composite,80535,6485886225,2.507281
8192,1821,6371,Composite,11601591,134596913731281,3.610434
8192,1822,6370,Composite,414505,171814395025,2.870928
8192,1823,6369,Mixed,11610687,134808052611969,3.610608
8192,1824,6368,Composite,11343,128663649,2.072233
8192,1825,6367,Mixed,2323955,5400766842025,3.253562
8192,1826,6366,Composite,2906079,8445295154241,3.303176
8192,1827,6365,Composite,3876285,15025585401225,3.367114
8192,1828,6364,Composite,727087,528655505569,2.995657
8192,1829,6363,Composite,3879309,15049038317481,3.367287
8192,1830,6362,Composite,2910615,8471679678225,3.303522
8192,1831,6361,Goldbach,11646991,135652399354081,3.611301
8192,1832,6360,Composite,182055,33144023025,2.68831
8192,1833,6359,Mixed,11656047,135863431666209,3.611473
